# Time-averaged data for fix f5
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
100000 2000
366 2.74125 0.104985 0.0124922
367 2.74875 0.121389 0.0150898
368 2.75625 0.142333 0.0181523
369 2.76375 0.164674 0.0217148
370 2.77125 0.204191 0.0261562
371 2.77875 0.209699 0.0307422
372 2.78625 0.2489 0.0362148
373 2.79375 0.277429 0.0423477
374 2.80125 0.308988 0.0492148
375 2.80875 0.365032 0.0573711
376 2.81625 0.382915 0.0659727
377 2.82375 0.440039 0.0759102
378 2.83125 0.481758 0.0868477
379 2.83875 0.539802 0.099168
380 2.84625 0.571861 0.112289
381 2.85375 0.63169 0.126859
382 2.86125 0.671847 0.142437
383 2.86875 0.738726 0.159656
384 2.87625 0.805065 0.17852
385 2.88375 0.841681 0.198344
386 2.89125 0.892262 0.219469
387 2.89875 0.969391 0.242539
388 2.90625 1.00538 0.26659
389 2.91375 1.06454 0.292187
390 2.92125 1.09739 0.318711
391 2.92875 1.18037 0.347387
392 2.93625 1.26041 0.378164
393 2.94375 1.31639 0.410473
394 2.95125 1.36291 0.444094
395 2.95875 1.40863 0.47902
396 2.96625 1.45779 0.515348
397 2.97375 1.51626 0.553324
398 2.98125 1.56745 0.592781
399 2.98875 1.64776 0.634469
400 2.99625 1.67363 0.677023
401 3.00375 1.72382 0.721074
402 3.01125 1.80103 0.767328
403 3.01875 1.85112 0.815105
404 3.02625 1.85897 0.863324
405 3.03375 1.91828 0.913328
406 3.04125 1.95699 0.964594
407 3.04875 1.991 1.01701
408 3.05625 2.05861 1.07147
409 3.06375 2.06956 1.12649
410 3.07125 2.12043 1.18314
411 3.07875 2.13558 1.24047
412 3.08625 2.16387 1.29884
413 3.09375 2.2119 1.3588
414 3.10125 2.21469 1.41913
415 3.10875 2.27452 1.48139
416 3.11625 2.25478 1.54341
417 3.12375 2.3111 1.60728
418 3.13125 2.33549 1.67213
419 3.13875 2.33036 1.73716
420 3.14625 2.31425 1.80204
421 3.15375 2.3547 1.86837
422 3.16125 2.4004 1.93631
423 3.16875 2.37889 2.00396
424 3.17625 2.38161 2.07202
425 3.18375 2.42524 2.14164
426 3.19125 2.40979 2.21115
427 3.19875 2.36696 2.27974
428 3.20625 2.39011 2.34933
429 3.21375 2.39593 2.41942
430 3.22125 2.3994 2.48993
431 3.22875 2.40203 2.56086
432 3.23625 2.42199 2.6327
433 3.24375 2.36505 2.70318
434 3.25125 2.36224 2.7739
435 3.25875 2.37502 2.84534
436 3.26625 2.3468 2.91625
437 3.27375 2.36708 2.9881
438 3.28125 2.3409 3.05948
439 3.28875 2.344 3.13129
440 3.29625 2.32383 3.2028
441 3.30375 2.29952 3.27388
442 3.31125 2.29314 3.34509
443 3.31875 2.27477 3.41605
444 3.32625 2.28883 3.48778
445 3.33375 2.25794 3.55885
446 3.34125 2.23028 3.62937
447 3.34875 2.26838 3.70142
448 3.35625 2.2083 3.77187
449 3.36375 2.21553 3.84287
450 3.37125 2.20738 3.91393
451 3.37875 2.18213 3.98448
452 3.38625 2.1412 4.05402
453 3.39375 2.11175 4.12291
454 3.40125 2.12808 4.19263
455 3.40875 2.08466 4.26124
456 3.41625 2.06335 4.32944
457 3.42375 2.04832 4.39745
458 3.43125 2.05038 4.46582
459 3.43875 2.0236 4.53359
460 3.44625 2.04326 4.60232
461 3.45375 1.98155 4.66927
462 3.46125 1.96607 4.73598
463 3.46875 1.91596 4.80127
464 3.47625 1.92814 4.86726
465 3.48375 1.90859 4.93287
466 3.49125 1.90063 4.99848
467 3.49875 1.87018 5.06332
468 3.50625 1.85198 5.1278
469 3.51375 1.82006 5.19145
470 3.52125 1.82455 5.25552
471 3.52875 1.8044 5.31916
472 3.53625 1.80326 5.38303
473 3.54375 1.75764 5.44554
474 3.55125 1.72463 5.50714
475 3.55875 1.73861 5.56951
476 3.56625 1.71449 5.63127
477 3.57375 1.70957 5.69311
478 3.58125 1.70521 5.75505
479 3.58875 1.65247 5.81532
480 3.59625 1.64879 5.87572
481 3.60375 1.62239 5.93539
482 3.61125 1.59789 5.99441
483 3.61875 1.60233 6.05384
484 3.62625 1.59089 6.11309
485 3.63375 1.5437 6.17082
486 3.64125 1.55773 6.22932
487 3.64875 1.54481 6.28757
488 3.65625 1.53208 6.34558
489 3.66375 1.51307 6.4031
490 3.67125 1.51048 6.46076
491 3.67875 1.46529 6.51693
492 3.68625 1.44249 6.57244
493 3.69375 1.45493 6.62866
494 3.70125 1.44522 6.68474
495 3.70875 1.42123 6.74011
496 3.71625 1.39812 6.79479
497 3.72375 1.38315 6.84911
498 3.73125 1.35689 6.90262
499 3.73875 1.36309 6.95658
500 3.74625 1.35037 7.01026
501 3.75375 1.35036 7.06415
502 3.76125 1.3207 7.11707
503 3.76875 1.32079 7.1702
504 3.77625 1.29428 7.22247
505 3.78375 1.29358 7.27493
506 3.79125 1.26429 7.32639
507 3.79875 1.25863 7.37784
508 3.80625 1.23283 7.42842
509 3.81375 1.23178 7.47916
510 3.82125 1.23384 7.53019
511 3.82875 1.2245 7.58103
512 3.83625 1.19591 7.63088
513 3.84375 1.17463 7.68003
514 3.85125 1.16597 7.72901
515 3.85875 1.18237 7.77888
516 3.86625 1.14974 7.82755
517 3.87375 1.1543 7.87661
518 3.88125 1.12979 7.92481
519 3.88875 1.10647 7.9722
520 3.89625 1.13537 8.02102
521 3.90375 1.10558 8.06874
522 3.91125 1.10613 8.11666
523 3.91875 1.08735 8.16396
524 3.92625 1.08105 8.21116
525 3.93375 1.06552 8.25786
526 3.94125 1.06458 8.30469
527 3.94875 1.05364 8.35122
528 3.95625 1.04013 8.39733
529 3.96375 1.03462 8.44337
530 3.97125 1.0343 8.48957
531 3.97875 1.0284 8.53568
532 3.98625 0.995546 8.58048
533 3.99375 0.994059 8.62539
534 4.00125 0.993609 8.67045
535 4.00875 0.98732 8.71538
536 4.01625 0.967818 8.7596
537 4.02375 0.975117 8.80431
538 4.03125 0.970219 8.84897
539 4.03875 0.962983 8.89346
540 4.04625 0.950908 8.93755
541 4.05375 0.952513 8.98188
542 4.06125 0.937709 9.02569
543 4.06875 0.920092 9.06883
544 4.07625 0.927002 9.11245
545 4.08375 0.919962 9.15591
546 4.09125 0.916345 9.19935
547 4.09875 0.904046 9.24236
548 4.10625 0.898865 9.28529
549 4.11375 0.885648 9.32774
550 4.12125 0.89883 9.37098
551 4.12875 0.862395 9.41261
552 4.13625 0.886357 9.45556
553 4.14375 0.882107 9.49846
554 4.15125 0.867558 9.5408
555 4.15875 0.864272 9.58314
556 4.16625 0.840504 9.62446
557 4.17375 0.83432 9.66563
558 4.18125 0.833932 9.70692
559 4.18875 0.828905 9.74811
560 4.19625 0.833699 9.78969
561 4.20375 0.833692 9.83141
562 4.21125 0.805684 9.87188
563 4.21875 0.804914 9.91246
564 4.22625 0.821828 9.95403
565 4.23375 0.810839 9.9952
566 4.24125 0.814568 10.0367
567 4.24875 0.807187 10.078
568 4.25625 0.808532 10.1194
569 4.26375 0.794614 10.1604
570 4.27125 0.796589 10.2015
571 4.27875 0.782272 10.2421
572 4.28625 0.785318 10.2829
573 4.29375 0.771729 10.3232
574 4.30125 0.770606 10.3636
575 4.30875 0.768371 10.404
576 4.31625 0.775993 10.445
577 4.32375 0.760246 10.4852
578 4.33125 0.763644 10.5258
579 4.33875 0.765841 10.5666
580 4.34625 0.75882 10.6072
581 4.35375 0.735107 10.6467
582 4.36125 0.747881 10.687
583 4.36875 0.750662 10.7276
584 4.37625 0.753925 10.7685
585 4.38375 0.754433 10.8095
586 4.39125 0.733334 10.8496
